GroupName,ShortTitle,FullTitle,URL,IsPublic
衛星画像,,トウルーカラー再現画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=color&contents=himawari,true
衛星画像,,雲頂強調画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=strengthen&contents=himawari,true
衛星画像,,全球可視画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_vis&contents=himawari,true
衛星画像,,全球赤外画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_ir&contents=himawari,true
衛星画像,,全球水蒸気画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_vap&contents=himawari,true
衛星画像,,全球トウルーカラー再現画像,https://www.jma.go.jp/bosai/map.html#5/41.02/135.093/&elem=s_color&contents=himawari,true
衛星画像,,雲解析情報,,false
衛星画像,TSAS1,広域雲解析情報図（北半球）,https://n-kishou.com/ee/exp/exp01.html?cd=tsas1&cat=a,false
衛星画像,TSAS2,広域雲解析情報図（南半球）,https://n-kishou.com/ee/exp/exp01.html?cd=tsas2&cat=a,false
衛星画像,HCAI,High-resolution Cloud Analysis Index,https://www.data.jma.go.jp/omaad/rsmc_nowcast/en/hcai/#zoom:3/lat:15.707663/lon:140.097656/colordepth:normal/elements:htc,true
衛星画像,,雲時間変化,http://smilebb5.web.fc2.com/tsas/,false
衛星画像,,気象レーダー,https://n-kishou.com/ee/radar/radar.html,false
アメダス,,10分間降水量,https://www.jma.go.jp/bosai/map.html#5/34.416/141.592/&elem=precipitation10m&contents=amedas&interval=60,true
アメダス,,1時間降水量,https://www.jma.go.jp/bosai/map.html#5/34.47/141.987/&elem=precipitation1h&contents=amedas&interval=60,true
アメダス,,3時間降水量,https://www.jma.go.jp/bosai/map.html#5/34.289/142.207/&elem=precipitation3h&contents=amedas&interval=60,true
アメダス,,24時間,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=precipitation24h&contents=amedas&interval=60,true
アメダス,,風向、風速,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=wind&contents=amedas&interval=60,true
アメダス,,気温,https://www.jma.go.jp/bosai/map.html#5/34.416/141.592/&elem=temp&contents=amedas&interval=60,true
アメダス,,日照時間,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=sun1h&contents=amedas&interval=60,true
アメダス,,湿度,https://www.jma.go.jp/bosai/map.html#5/34.315/142.393/&elem=humidity&contents=amedas&interval=60,true
空港の情報,,空港の予報,https://www.data.jma.go.jp/airinfo/data/awfo_taf.html#contents_area2,true
